ID,素材title,上传者,timestamp,size,size_unit,review_status,tags,城市,duration_sec,投放平台
vid0001,投放素材001,赵六,1715336373,541.2,MB,pending,['品牌'],深圳,26,qianchuan
vid0002,投放素材002,周九,1717743965,348.4,MB,pending,['节日'],北京,157,qianchuan
vid0003,投放素材003,赵六,1720071984,582144,KB,approved,"['测评', '搞笑']",西安,17,qianchuan
vid0004,投放素材004,王五,1715345835,423.5,MB,通过,"['品牌', '测评', '节日']",武汉,161,千川
vid0005,投放素材005,陈七,1706884009,285.7,MB,通过,['种草'],成都,96,qianchuan
vid0006,投放素材006,张三,1713403942,188.7,MB,PENDING,"['种草', '剧情']",上海,176,千川
vid0007,投放素材007,  赵六 ,1729375066,572.3,MB,approved,['品牌'],未知,65,qianchuan
vid0008,,  陈七 ,1727537349,471.8,MB,Reject,"['促销', '测评', '生活']",杭州,157,qianchuan
vid0009,投放素材009,李四,1717376714,91.8,MB,rejected,['搞笑'],北京,98,qianchuan
vid0010,投放素材010,  吴十 ,1726264172,90009.6,KB,pending,['测评'],西安,49,qianchuan
vid0011,投放素材011,陈七,1709977375,594944,KB,已通过,"['生活', '节日', '测评']",上海,81,qianchuan
vid0012,投放素材012,  刘八 ,1712249899,363.4,MB,待审核,"['种草', '节日']",杭州,97,
vid0013,投放素材013,李四,1733605836,446156.8,KB,已拒绝,"['种草', '搞笑', '促销']",,71,qianchuan
vid0014,投放素材014,赵六,1725740104,296.5,MB,待审核,['搞笑'],未知,104,qianchuan
vid0015,,陈七,1722638670,244838.4,KB,已通过,"['生活', '品牌']",深圳,90,千川
vid0016,投放素材016,吴十,1728994152,573,MB,已通过,['节日'],,162,
vid0017,,张三,1707440296,218009.6,KB,rejected,['搞笑'],北京,23,
vid0018,投放素材018,陈七,1727468644,400.8,MB,APPROVED,['种草'],广州,23,
vid0019,投放素材019,  张三 ,1732981824,112.7,MB,待审核,"['生活', '种草']",杭州,31,巨量引擎
vid0020,投放素材020,陈七,1708041774,470.4,MB,已通过,"['测评', '节日', '生活']",杭州,155,千川
vid0021,投放素材021,  李四 ,1724523018,571.2,MB,Approved,"['节日', '品牌', '剧情']",上海,50,千川
vid0022,投放素材022,陈七,1717774775,429.2,MB,待审核,"['种草', '促销']",西安,28,巨量引擎
